"Name","Disabled","ChallengeId","FileName","Locale","LogoAsset","HomeScreenLogo","EventAsset","ChatItem","RewardItem","RewardUnlockedItem","AttemptsRewardAnimation","HeaderFrame","TID","StageTID","RewardTID","CompletedTID","MilestoneRewardPopupTID","CompletionRewardPopupTID","BattleEndHeaderTID","BattleEndWinLabelTID","BattleEndWinTID","StartNotification","ReminderNotification","TeaserTitleTID","TeaserInfoTID","RewardSkin","RewardPopupTID"
"string","boolean","int","string","StringArray","StringArray","StringArray","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"ChampionShip",,0,"sc/ui.sc","EN","bsc_logo_en",,"event_challenge_bsc","event_chat_letsplay_bsc","event_reward_bsc","event_reward_bsc","event_attempts_animation_bsc","basic","TID_CC_POPUP_TITLE","TID_CC_POPUP_WINS_FOR_EVENT","TID_CC_POPUP_QUALIFY_INFO","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO","TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE","TID_BATTLE_END_CC_QUALIFY_LABEL","TID_BATTLE_END_CC_QUALIFY_INFO","CCStart","CCReminder","TID_CC_TEASER_TITLE","TID_CC_TEASER_INFO",,"TID_QUALIFIED_INFO"
,,,,"JP","bsc_logo_jp",,,,,,,,,,,,,,,,,,,,,,
,,,,"KR","bsc_logo_kr",,,,,,,,,,,,,,,,,,,,,,
,,,,"CN","bsc_logo_cns",,,,,,,,,,,,,,,,,,,,,,
,,,,"CNT","bsc_logo_cnt",,,,,,,,,,,,,,,,,,,,,,
"PSG","TRUE",1,"sc/ui.sc",,"psg_logo","psg_logo_mainscreen","event_info_psg_challenge","chat_letsplay_championship_challenge","championship_challenge_qualify_psg","psg_logo","event_attempts_animation","psg","TID_CC_POPUP_1_TITLE","TID_POPUP_WINS_FOR_EVENT_PSG","TID_CC_POPUP_QUALIFY_INFO_PSG","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO_PSG","TID_CC_POPUP_1_TITLE","TID_BATTLE_END_CHALLENGE_WIN_LABEL","TID_BATTLE_END_PSG_CHALLENGE_WIN_INFO","PSGStart","PSGReminder","TID_PSG_TEASER_TITLE","TID_PSG_TEASER_INFO","ShotgunGirlFootball","TID_QUALIFIED_INFO_PSG"
"Brawloween20","TRUE",2,"sc/ui.sc",,"bow_logo","bow_logo","event_info_brawloween_challenge","chat_letsplay_championship_challenge","brawloween_challenge_qualify","bow_logo","event_attempts_animation","bow","TID_CC_POPUP_TITLE_BRAWLOWEEN","TID_CC_POPUP_WINS_FOR_EVENT","TID_CC_POPUP_QUALIFY_INFO_GENERIC","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO_GENERIC","TID_CC_POPUP_TITLE_BRAWLOWEEN","TID_BATTLE_END_CHALLENGE_WIN_LABEL","TID_BATTLE_END_BRAWLOWEEN_WIN_INFO","GenericChallengeStart","GenericChallengeReminder","TID_PSG_TEASER_TITLE","TID_CHALLENGE_TEASER_INFO_GENERIC","RosaRosaBrawloween","TID_QUALIFIED_INFO_GENERIC"
"Brawlidays20","TRUE",3,"sc/ui.sc",,"aztecbo_logo","aztecbo_logo","event_info_aztecbo_challenge","chat_letsplay_championship_challenge","championship_challenge_qualify_aztec","aztecbo_logo","event_attempts_animation","aztecbo","TID_CC_POPUP_TITLE_BRAWLIDAYS","TID_CC_POPUP_WINS_FOR_EVENT","TID_CC_POPUP_QUALIFY_INFO_GENERIC_NO_PIN","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO_GENERIC_NO_PIN","TID_CC_POPUP_TITLE_BRAWLIDAYS","TID_BATTLE_END_CHALLENGE_WIN_LABEL","TID_BATTLE_END_GENERIC_WIN_INFO","GenericChallengeStart","GenericChallengeReminder","TID_PSG_TEASER_TITLE","TID_CHALLENGE_TEASER_INFO_GENERIC_NO_PIN","BowDudeWarrior","TID_QUALIFIED_INFO_GENERIC_NO_PIN"
"Solo_01_21","TRUE",4,"sc/ui.sc",,"aztecbo_logo","aztecbo_logo","event_info_aztecbo_challenge","chat_letsplay_championship_challenge","championship_challenge_qualify_aztec","aztecbo_logo","event_attempts_animation","aztecbo","TID_CC_POPUP_TITLE_SOLO","TID_CC_POPUP_WINS_FOR_EVENT","TID_CC_POPUP_QUALIFY_INFO_GENERIC_NO_PIN","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO_GENERIC_NO_PIN","TID_CC_POPUP_TITLE_SOLO","TID_BATTLE_END_CHALLENGE_WIN_LABEL","TID_BATTLE_END_GENERIC_WIN_INFO","GenericChallengeStart","GenericChallengeReminder","TID_PSG_TEASER_TITLE","TID_CHALLENGE_TEASER_INFO_GENERIC_NO_PIN","BowDudeWarrior","TID_QUALIFIED_INFO_GENERIC_NO_PIN"
"PSG_03_21","TRUE",5,"sc/ui.sc",,"psg_logo","psg_logo","event_info_psg_challenge","chat_letsplay_championship_psg_challenge","championship_challenge_qualify_psg","psg_logo","event_attempts_animation","psg","TID_CC_POPUP_TITLE_PSG_21","TID_POPUP_WINS_FOR_EVENT_PSG","TID_CC_POPUP_QUALIFY_INFO_GENERIC_NO_PIN","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO_GENERIC_NO_PIN","TID_CC_POPUP_TITLE_SOLO","TID_BATTLE_END_CHALLENGE_WIN_LABEL","TID_BATTLE_END_GENERIC_WIN_INFO","GenericChallengeStart","GenericChallengeReminder","TID_PSG_TEASER_TITLE","TID_CHALLENGE_TEASER_INFO_GENERIC_NO_PIN","TntDudePsg","TID_QUALIFIED_INFO_GENERIC_NO_PIN"
"CNAnniversary_21","TRUE",6,"sc/ui.sc",,"china_anniversary_logo","china_anniversary_logo","event_info_lyn_challenge","chat_letsplay_lyn_challenge","championship_challenge_qualify_lyn","championship_challenge_qualify_lyn","event_attempts_animation","lyn","TID_CC_POPUP_TITLE_ANNIVERSARY","TID_CC_POPUP_WINS_FOR_EVENT","TID_CC_POPUP_QUALIFY_INFO_GENERIC_NOUNIQUE","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO_GENERIC_NOUNIQUE","TID_CC_POPUP_TITLE_ANNIVERSARY","TID_BATTLE_END_CHALLENGE_WIN_LABEL","TID_BATTLE_END_GENERIC_WIN_INFO","GenericChallengeStart","GenericChallengeReminder","TID_PSG_TEASER_TITLE","TID_CHALLENGE_TEASER_INFO_NOUNIQUE",,"TID_QUALIFIED_INFO_GENERIC_NOUNIQUE"
"GenericChallenge",,7,"sc/ui.sc",,"event_logo","event_logo","event_challenge","event_chat_letsplay","event_reward","event_reward","event_attempts_animation",,"TID_CC_POPUP_TITLE_CHALLENGE","TID_CC_POPUP_WINS_FOR_EVENT","TID_CC_POPUP_QUALIFY_INFO_PARAM","TID_CC_POPUP_QUALIFY_INFO_COMPLETED","TID_CHALLENGE_WIN_REWARD_POPUP_TEXT","TID_QUALIFIED_INFO_PARAM","TID_CC_POPUP_TITLE_CHALLENGE","TID_BATTLE_END_CHALLENGE_WIN_LABEL","TID_BATTLE_END_GENERIC_WIN_INFO","GenericChallengeStart","GenericChallengeReminder","TID_PSG_TEASER_TITLE","TID_CHALLENGE_TEASER_INFO_PARAM",,"TID_QUALIFIED_INFO_PARAM"
